"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0017331","CPD 0017335","LOG_1048968"
"CPD 0017336","CPD 0017338","LOG_1048971"
"CPD 0017339","CPD 0017341","LOG_1048975"
"CPD 0017342","CPD 0017343","LOG_1048977"
"CPD 0017344","CPD 0017345","LOG_1048977"
"CPD 0017346","CPD 0017348","LOG_1048979"
"CPD 0017349","CPD 0017350","LOG_1048979"
"CPD 0017351","CPD 0017355","LOG_1048979"
"CPD 0017356","CPD 0017357","LOG_1048980"
"CPD 0017358","CPD 0017358","LOG_1048980"
"CPD 0017359","CPD 0017359","LOG_1048980"
"CPD 0017360","CPD 0017362","LOG_1048981"
"CPD 0017363","CPD 0017364","LOG_1048981"
"CPD 0017365","CPD 0017366","LOG_1048981"
"CPD 0017367","CPD 0017368","LOG_1048981"
"CPD 0017369","CPD 0017371","LOG_1048984"
"CPD 0017372","CPD 0017374","LOG_1048984"
"CPD 0017375","CPD 0017376","LOG_1048984"
"CPD 0017377","CPD 0017378","LOG_1048984"
"CPD 0017379","CPD 0017381","LOG_1048985"
"CPD 0017382","CPD 0017383","LOG_1048985"
"CPD 0017384","CPD 0017385","LOG_1048985"
"CPD 0017386","CPD 0017387","LOG_1048985"
"CPD 0017388","CPD 0017398","LOG_1048985"
"CPD 0017399","CPD 0017402","LOG_1048986"
"CPD 0017403","CPD 0017404","LOG_1048986"
"CPD 0017405","CPD 0017406","LOG_1048986"
"CPD 0017407","CPD 0017409","LOG_1048986"
"CPD 0017410","CPD 0017412","LOG_1048986"
"CPD 0017413","CPD 0017417","LOG_1048986"
"CPD 0017418","CPD 0017420","LOG_1048986"
"CPD 0017421","CPD 0017423","LOG_1048986"
"CPD 0017424","CPD 0017427","LOG_1048986"
"CPD 0017428","CPD 0017432","LOG_1048986"
"CPD 0017433","CPD 0017435","LOG_1048986"
"CPD 0017436","CPD 0017438","LOG_1048987"
"CPD 0017439","CPD 0017440","LOG_1048987"
"CPD 0017441","CPD 0017441","LOG_1048987"
"CPD 0017442","CPD 0017444","LOG_1048987"
"CPD 0017445","CPD 0017447","LOG_1048988"
"CPD 0017448","CPD 0017449","LOG_1048988"
"CPD 0017450","CPD 0017452","LOG_1048989"
"CPD 0017453","CPD 0017454","LOG_1048989"
"CPD 0017455","CPD 0017457","LOG_1048990"
"CPD 0017458","CPD 0017459","LOG_1048990"
"CPD 0017460","CPD 0017461","LOG_1048990"
"CPD 0017462","CPD 0017464","LOG_1048990"
"CPD 0017465","CPD 0017465","LOG_1048990"
"CPD 0017466","CPD 0017468","LOG_1048991"
"CPD 0017469","CPD 0017470","LOG_1048991"
"CPD 0017471","CPD 0017473","LOG_1048992"
"CPD 0017474","CPD 0017477","LOG_1048992"
"CPD 0017478","CPD 0017479","LOG_1048992"
"CPD 0017480","CPD 0017482","LOG_1048994"
"CPD 0017483","CPD 0017484","LOG_1048994"
"CPD 0017485","CPD 0017487","LOG_1048995"
"CPD 0017488","CPD 0017489","LOG_1048995"
"CPD 0017490","CPD 0017491","LOG_1048996"
"CPD 0017492","CPD 0017492","LOG_1048999"
"CPD 0017493","CPD 0017501","LOG_1048999"
"CPD 0017502","CPD 0017510","LOG_1048999"
"CPD 0017511","CPD 0017519","LOG_1048999"
"CPD 0017520","CPD 0017553","LOG_1048999"
"CPD 0017554","CPD 0017555","LOG_1049000"
"CPD 0017556","CPD 0017557","LOG_1049003"
"CPD 0017558","CPD 0017560","LOG_1049004"
"CPD 0017561","CPD 0017562","LOG_1049004"
"CPD 0017563","CPD 0017564","LOG_1049006"
"CPD 0017565","CPD 0017565","LOG_1049008"
"CPD 0017566","CPD 0017567","LOG_1049016"
"CPD 0017568","CPD 0017576","LOG_1049016"
"CPD 0017577","CPD 0017579","LOG_1049018"
"CPD 0017580","CPD 0017581","LOG_1049018"
"CPD 0017582","CPD 0017582","LOG_1049020"
"CPD 0017583","CPD 0017584","LOG_1049020"
"CPD 0017585","CPD 0017587","LOG_1049020"
"CPD 0017588","CPD 0017590","LOG_1049020"
"CPD 0017591","CPD 0017591","LOG_1049020"
"CPD 0017592","CPD 0017593","LOG_1049024"
"CPD 0017594","CPD 0017595","LOG_1049024"
"CPD 0017596","CPD 0017596","LOG_1049024"
