"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0033850","CPD 0033852","LOG_1049391.zip?2011-4.LOG_1049391.001.CR Summary.pdf","LOG_1049391",""
"CPD 0033853","CPD 0033854","LOG_1049391.zip?2011-4.LOG_1049391.002.CR Face Sheet.pdf","LOG_1049391",""
"CPD 0033855","CPD 0033856","LOG_1049391.zip?2011-4.LOG_1049391.004.CR_Attachment_---_DOCID_791810.pdf","LOG_1049391",""
"CPD 0033857","CPD 0033858","LOG_1049391.zip?2011-4.LOG_1049391.005.CR_Attachment_---_DOCID_791812.pdf","LOG_1049391",""
"CPD 0033859","CPD 0033862","LOG_1049391.zip?2011-4.LOG_1049391.006.CR_Attachment_---_DOCID_791814.pdf","LOG_1049391",""
"CPD 0033863","CPD 0033865","LOG_1049406.zip?2011-4.LOG_1049406.001.CR Summary.pdf","LOG_1049406",""
"CPD 0033866","CPD 0033867","LOG_1049406.zip?2011-4.LOG_1049406.002.CR Face Sheet.pdf","LOG_1049406",""
"CPD 0033868","CPD 0033872","LOG_1049406.zip?2011-4.LOG_1049406.004.CR_Attachment_---_DOCID_791959.pdf","LOG_1049406",""
"CPD 0033873","CPD 0033874","LOG_1049406.zip?2011-4.LOG_1049406.005.CR_Attachment_---_DOCID_791960.pdf","LOG_1049406",""
"CPD 0033875","CPD 0033877","LOG_1049408.zip?2011-4.LOG_1049408.001.CR Summary.pdf","LOG_1049408",""
"CPD 0033878","CPD 0033879","LOG_1049408.zip?2011-4.LOG_1049408.002.CR Face Sheet.pdf","LOG_1049408",""
"CPD 0033880","CPD 0033882","LOG_1049408.zip?2011-4.LOG_1049408.004.CR_Attachment_---_DOCID_792106.pdf","LOG_1049408",""
"CPD 0033883","CPD 0033884","LOG_1049408.zip?2011-4.LOG_1049408.005.CR_Attachment_---_DOCID_792107.pdf","LOG_1049408",""
"CPD 0033885","CPD 0033886","LOG_1049408.zip?2011-4.LOG_1049408.006.CR_Attachment_---_DOCID_793620.pdf","LOG_1049408",""
"CPD 0033887","CPD 0033889","LOG_1049409.zip?2011-4.LOG_1049409.001.CR Summary.pdf","LOG_1049409",""
"CPD 0033890","CPD 0033890","LOG_1049409.zip?2011-4.LOG_1049409.002.CR Face Sheet.pdf","LOG_1049409",""
"CPD 0033891","CPD 0033892","LOG_1049409.zip?2011-4.LOG_1049409.009.CR_Attachment_---_DOCID_792197.pdf","LOG_1049409",""
"CPD 0033893","CPD 0033897","LOG_1049409.zip?2011-4.LOG_1049409.010.CR_Attachment_---_DOCID_792199.pdf","LOG_1049409",""
"CPD 0033898","CPD 0033898","LOG_1049409.zip?2011-4.LOG_1049409.011.CR_Attachment_---_DOCID_793051.pdf","LOG_1049409",""
"CPD 0033899","CPD 0033901","LOG_1049410.zip?2011-4.LOG_1049410.001.CR Summary.pdf","LOG_1049410",""
"CPD 0033902","CPD 0033903","LOG_1049410.zip?2011-4.LOG_1049410.002.CR Face Sheet.pdf","LOG_1049410",""
"CPD 0033904","CPD 0033905","LOG_1049410.zip?2011-4.LOG_1049410.004.CR_Attachment_---_DOCID_791964.pdf","LOG_1049410",""
"CPD 0033906","CPD 0033911","LOG_1049410.zip?2011-4.LOG_1049410.005.CR_Attachment_---_DOCID_792433.pdf","LOG_1049410",""
"CPD 0033912","CPD 0033914","LOG_1049410.zip?2011-4.LOG_1049410.006.CR_Attachment_---_DOCID_792475.pdf","LOG_1049410",""
"CPD 0033915","CPD 0033916","LOG_1049410.zip?2011-4.LOG_1049410.007.CR_Attachment_---_DOCID_794202.pdf","LOG_1049410",""
"CPD 0033917","CPD 0033922","LOG_1049410.zip?2011-4.LOG_1049410.008.CR_Attachment_---_DOCID_794206.pdf","LOG_1049410",""
"CPD 0033923","CPD 0033925","LOG_1049410.zip?2011-4.LOG_1049410.009.CR_Attachment_---_DOCID_794211.pdf","LOG_1049410",""
"CPD 0033926","CPD 0033928","LOG_1049517.zip?2011-4.LOG_1049517.001.CR Summary.pdf","LOG_1049517",""
"CPD 0033929","CPD 0033930","LOG_1049517.zip?2011-4.LOG_1049517.002.CR Face Sheet.pdf","LOG_1049517",""
"CPD 0033931","CPD 0033931","LOG_1049517.zip?2011-4.LOG_1049517.006.CR_Attachment_003_DOCID_799093.pdf","LOG_1049517",""
"CPD 0033932","CPD 0033932","LOG_1049517.zip?2011-4.LOG_1049517.007.CR_Attachment_004_DOCID_796835.pdf","LOG_1049517",""
"CPD 0033933","CPD 0033934","LOG_1049517.zip?2011-4.LOG_1049517.008.CR_Attachment_005_DOCID_796838.pdf","LOG_1049517",""
"CPD 0033935","CPD 0033935","LOG_1049517.zip?2011-4.LOG_1049517.009.CR_Attachment_006_DOCID_799095.pdf","LOG_1049517",""
"CPD 0033936","CPD 0033939","LOG_1049517.zip?2011-4.LOG_1049517.010.CR_Attachment_---_DOCID_799381.pdf","LOG_1049517",""
"CPD 0033940","CPD 0033942","LOG_1049527.zip?2011-4.LOG_1049527.001.CR Summary.pdf","LOG_1049527",""
"CPD 0033943","CPD 0033944","LOG_1049527.zip?2011-4.LOG_1049527.002.CR Face Sheet.pdf","LOG_1049527",""
"CPD 0033945","CPD 0033949","LOG_1049527.zip?2011-4.LOG_1049527.004.CR_Attachment_---_DOCID_793831.pdf","LOG_1049527",""
"CPD 0033950","CPD 0033953","LOG_1049527.zip?2011-4.LOG_1049527.005.CR_Attachment_---_DOCID_797667.pdf","LOG_1049527",""
