begin,end,log_id,filename
CPD 0000027,CPD 0000029,LOG_1048963.zip,2011-4.LOG_1048963.001.CR Summary.pdf
CPD 0000001,CPD 0000003,LOG_1048960.zip,2011-4.LOG_1048960.001.CR Summary.pdf
CPD 0000010,CPD 0000010,LOG_1048961.zip,2011-4.LOG_1048961.002.CR Face Sheet.pdf
CPD 0000011,CPD 0000012,LOG_1048961.zip,2011-4.LOG_1048961.004.CR_Attachment_---_DOCID_787597.pdf
CPD 0000013,CPD 0000014,LOG_1048961.zip,2011-4.LOG_1048961.005.CR_Attachment_---_DOCID_787598.pdf
CPD 0000027,CPD 0000029,LOG_1048963.zip,2011-4.LOG_1048963.001.CR Summary.pdf
CPD 0000030,CPD 0000030,LOG_1048963.zip,2011-4.LOG_1048963.002.CR Face Sheet.pdf
CPD 0000031,CPD 0000032,LOG_1048963.zip,2011-4.LOG_1048963.004.CR_Attachment_---_DOCID_788655.pdf
CPD 0000035,CPD 0000036,LOG_1048963.zip,2011-4.LOG_1048963.006.CR_Attachment_---_DOCID_800955.pdf
CPD 0000037,CPD 0000039,LOG_1048964.zip,2011-4.LOG_1048964.001.CR Summary.pdf
CPD 0000042,CPD 0000043,LOG_1048964.zip,2011-4.LOG_1048964.004.CR_Attachment_---_DOCID_787748.pdf
CPD 0000044,CPD 0000046,LOG_1048965.zip,2011-4.LOG_1048965.001.CR Summary.pdf
CPD 0000047,CPD 0000048,LOG_1048965.zip,2011-4.LOG_1048965.002.CR Face Sheet.pdf
CPD 0000059,CPD 0000060,LOG_1048966.zip,2011-4.LOG_1048966.006.CR_Attachment_---_DOCID_789199.pdf
CPD 0000061,CPD 0000063,LOG_1048967.zip,2011-4.LOG_1048967.001.CR Summary.pdf
CPD 0000064,CPD 0000065,LOG_1048967.zip,2011-4.LOG_1048967.002.CR Face Sheet.pdf
CPD 0000069,CPD 0000069,LOG_1048968.zip,2011-4.LOG_1048968.002.CR Face Sheet.pdf
CPD 0000070,CPD 0000070,LOG_1048968.zip,2011-4.LOG_1048968.012.CR_Attachment_---_DOCID_787632.pdf
CPD 0000071,CPD 0000072,LOG_1048968.zip,2011-4.LOG_1048968.013.CR_Attachment_---_DOCID_787633.pdf
