pdf_name,page_num,doc_type
LOG_1060901.pdf,5,Summary Report
LOG_1060901.pdf,6,
LOG_1060901.pdf,9,ARREST Report
LOG_1060901.pdf,7,ARREST Report
LOG_1060901.pdf,4,Face Sheet
LOG_1060901.pdf,2,Summary Report
LOG_1060901.pdf,1,Log Summary Report
LOG_1060901.pdf,10,ARREST Report
LOG_1060901.pdf,3,Summary Report
LOG_1060901.pdf,8,ARREST Report
CPD 0054242.pdf,2,
CPD 0054242.pdf,1,Face Sheet
CPD 0052549.pdf,2,
CPD 0052549.pdf,1,Face Sheet
CPD 0004751.pdf,3,Incident Report
CPD 0004751.pdf,2,
CPD 0004751.pdf,1,Face Sheet
CPD 0032581.pdf,3,Summary Report
CPD 0032581.pdf,2,Summary Report
CPD 0032581.pdf,1,Log Summary Report
CPD 0041751.pdf,1,
CPD 0010522.pdf,1,Sworn Affidavit
CPD 0034807.pdf,3,Watch Commander/OCIC Review
CPD 0034807.pdf,2,
CPD 0034807.pdf,1,Tactical Reponse Report
CPD 0002231.pdf,1,
LOG_1056102.pdf,2,Summary Report
LOG_1056102.pdf,1,Log Summary Report
LOG_1056102.pdf,5,
LOG_1056102.pdf,4,Face Sheet
LOG_1056102.pdf,3,
CPD 0049651.pdf,3,Summary Report
CPD 0049651.pdf,2,Summary Report
CPD 0049651.pdf,1,Log Summary Report
CPD 0045231.pdf,1,Face Sheet
CPD 0045231.pdf,2,
CPD 0052188.pdf,2,Summary Report
CPD 0052188.pdf,1,Log Summary Report
CPD 0052188.pdf,3,Summary Report
CPD 0025360.pdf,1,Log Summary Report
CPD 0025360.pdf,3,
CPD 0025360.pdf,2,Summary Report
CPD 0054845.pdf,1,Face Sheet
CPD 0054845.pdf,2,
CPD 0054836.pdf,2,
CPD 0054836.pdf,1,Face Sheet
CPD 0048550.pdf,1,Sworn Affidavit
CPD 0047205.pdf,1,Log Summary Report
CPD 0047205.pdf,2,Summary Report
CPD 0047205.pdf,3,
CPD 0021539.pdf,19,
CPD 0021539.pdf,1,Allegation Email
CPD 0021539.pdf,11,
CPD 0021539.pdf,16,
CPD 0021539.pdf,7,
CPD 0021539.pdf,14,email
CPD 0021539.pdf,3,
CPD 0021539.pdf,10,Event History Table
CPD 0021539.pdf,13,
CPD 0021539.pdf,8,
CPD 0021539.pdf,21,
CPD 0021539.pdf,2,Allegation Email
CPD 0021539.pdf,18,Event History Table
CPD 0021539.pdf,9,
CPD 0021539.pdf,15,
CPD 0021539.pdf,12,
CPD 0021539.pdf,6,
CPD 0021539.pdf,20,
CPD 0021539.pdf,4,
CPD 0021539.pdf,17,
CPD 0021539.pdf,5,
LOG_1055843.pdf,4,Face Sheet
LOG_1055843.pdf,44,Drug Test Specimen Affidavit
LOG_1055843.pdf,37,
LOG_1055843.pdf,39,Drug Test Specimen Affidavit
LOG_1055843.pdf,31,
LOG_1055843.pdf,36,
LOG_1055843.pdf,15,Face Sheet
