cr_id,filename,page_num,page_classification,dropbox_path,doccloud_url
1048968,CPD 0017331.pdf,2,ARREST Report,/Green v. CPD FOIA Files/Green 2019.12.02 Production,https://beta.documentcloud.org/documents/20050512-cpd-0017331pdf
1048968,CPD 0017331.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 2019.12.02 Production,https://beta.documentcloud.org/documents/20050512-cpd-0017331pdf
1048968,CPD 0017331.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 2019.12.02 Production,https://beta.documentcloud.org/documents/20050512-cpd-0017331pdf
1048968,CPD 0017331.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 2019.12.02 Production,https://beta.documentcloud.org/documents/20050512-cpd-0017331pdf
1048970,CPD 0000090.pdf,2,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20054242-cpd-0000090pdf
1048970,CPD 0000090.pdf,3,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20054242-cpd-0000090pdf
1048970,CPD 0000090.pdf,4,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20054242-cpd-0000090pdf
1048970,CPD 0000090.pdf,5,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20054242-cpd-0000090pdf
1048970,CPD 0000095.pdf,2,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20037785-cpd-0000095pdf
1048970,CPD 0000095.pdf,3,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20037785-cpd-0000095pdf
1048970,CPD 0000095.pdf,4,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20037785-cpd-0000095pdf
1048972,CPD 0000129.pdf,2,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20035708-cpd-0000129pdf
1048972,CPD 0000129.pdf,3,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20035708-cpd-0000129pdf
1048972,CPD 0000129.pdf,6,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20035708-cpd-0000129pdf
1048972,CPD 0000129.pdf,7,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20035708-cpd-0000129pdf
1048975,CPD 0000212.pdf,2,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20051894-cpd-0000212pdf
1048975,CPD 0000212.pdf,4,ARREST Report,"/Green v. CPD FOIA Files/Green, C. 2019.09.03 Production",https://beta.documentcloud.org/documents/20051894-cpd-0000212pdf
